"date","GDPlev"
"1994-12-01",10052.5
"1995-03-01",10086.9
"1995-06-01",10122.1
"1995-09-01",10208.8
"1995-12-01",10281.2
"1996-03-01",10348.7
"1996-06-01",10529.4
"1996-09-01",10626.8
"1996-12-01",10739.1
"1997-03-01",10820.9
"1997-06-01",10984.2
"1997-09-01",11124.0
"1997-12-01",11210.3
"1998-03-01",11321.2
"1998-06-01",11431.0
"1998-09-01",11580.6
"1998-12-01",11770.7
"1999-03-01",11864.7
"1999-06-01",11962.5
"1999-09-01",12113.1
"1999-12-01",12323.3
"2000-03-01",12359.1
"2000-06-01",12592.5
"2000-09-01",12607.7
"2000-12-01",12679.3
"2001-03-01",12643.3
"2001-06-01",12710.3
"2001-09-01",12670.1
"2001-12-01",12705.3
"2002-03-01",12822.3
"2002-06-01",12893.0
"2002-09-01",12955.8
"2002-12-01",12964.0
"2003-03-01",13031.2
"2003-06-01",13152.1
"2003-09-01",13372.4
"2003-12-01",13528.7
"2004-03-01",13606.5
"2004-06-01",13706.2
"2004-09-01",13830.8
"2004-12-01",13950.4
"2005-03-01",14099.1
"2005-06-01",14172.7
"2005-09-01",14291.8
"2005-12-01",14373.4
"2006-03-01",14546.1
"2006-06-01",14589.6
"2006-09-01",14602.6
"2006-12-01",14716.9
"2007-03-01",14726.0
"2007-06-01",14838.7
"2007-09-01",14938.5
"2007-12-01",14991.8
"2008-03-01",14889.5
"2008-06-01",14963.4
"2008-09-01",14891.6
"2008-12-01",14577.0
"2009-03-01",14375.0
"2009-06-01",14355.6
"2009-09-01",14402.5
"2009-12-01",14541.9
"2010-03-01",14604.8
"2010-06-01",14745.9
"2010-09-01",14845.5
"2010-12-01",14939.0
"2011-03-01",14881.3
"2011-06-01",14989.6
"2011-09-01",15021.1
"2011-12-01",15190.3
