"date","IP","INFL","UNEMP"
"1948-01-01",4.804091485162898,9.7508540375141,3.4
"1948-02-01",4.403367060186847,9.058961131483034,3.8
"1948-03-01",2.687541780944036,6.595796779179697,4.0
"1948-04-01",3.6577600038321556,7.948311056883783,3.9
"1948-05-01",4.953167487921517,8.97032707119818,3.5
"1948-06-01",6.245682260190666,8.961215868968742,3.6
"1948-07-01",6.833701709592788,9.314040432305104,3.6
"1948-08-01",5.878658682317184,8.6750926408655,3.9
"1948-09-01",4.360933290332225,6.442905805388666,3.8
"1948-10-01",4.1363034621228145,5.931429186262749,3.7
"1948-11-01",1.503929341390231,4.659885822570109,3.8
"1948-12-01",0.1888561949684675,2.6971715048950795,4.0
"1949-01-01",-1.3218016235876373,1.3839600217357084,4.3
"1949-02-01",-2.4651404648221575,1.008835794434093,4.7
"1949-03-01",-3.2733125483650483,1.7296360320120385,5.0
"1949-04-01",-4.0507237263269325,0.4189365155277347,5.3
"1949-05-01",-7.124862257312614,-0.4173628762928594,6.1
"1949-06-01",-8.61755296522353,-0.9569451016150587,6.2
"1949-07-01",-8.818069885057112,-2.9108084158070646,6.7
"1949-08-01",-7.453638587610456,-3.03368371285635,6.8
"1949-09-01",-5.726580670639292,-2.5359912361046177,6.6
"1949-10-01",-10.270259746830757,-2.6679364802139283,7.9
"1949-11-01",-6.353945206577638,-1.9223324925528473,6.4
"1949-12-01",-3.64372777522588,-1.8464645454348894,6.6
"1950-01-01",-0.9555453588145468,-2.10445476811838,6.5
"1950-02-01",0.3831776865831582,-1.262643037281208,6.4
"1950-03-01",5.520131288564434,-1.1356588932335931,6.3
"1950-04-01",9.387930725673677,-1.1351814144489492,5.8
"1950-05-01",13.078152007125432,-0.5872500098131006,5.5
"1950-06-01",16.212060203835232,-0.16736405580299873,5.4
"1950-07-01",19.59209587647934,1.5491203653895003,5.0
"1950-08-01",21.67749422663361,2.0877585021555234,4.5
"1950-09-01",20.048790581034837,2.4538557078731316,4.4
"1950-10-01",24.49411538585391,3.446469402478902,4.2
"1950-11-01",21.716166174454443,3.7271394797231405,4.2
"1950-12-01",21.68747734111762,5.6405153600010305,4.3
"1951-01-01",20.259122339596214,7.653559973426338,3.7
"1951-02-01",20.501002596475892,8.986625601032783,3.4
"1951-03-01",17.768241001858208,9.053027709480244,3.4
"1951-04-01",14.644169285954334,9.165175654613211,3.1
"1951-05-01",12.031148200974195,8.928756728129628,3.0
"1951-06-01",8.630168309458552,8.235931102617178,3.2
"1951-07-01",3.8774876109537892,7.366274277903795,3.1
"1951-08-01",-0.1596005178281512,6.634474018107062,3.1
"1951-09-01",1.1195032586462705,6.712863144709269,3.3
"1951-10-01",0.31900866234035874,6.555840903831633,3.5
"1951-11-01",1.2714241223684475,6.758266351879927,3.5
"1951-12-01",0.1568424954220493,5.7936511541578195,3.1
"1952-01-01",0.9361278789179472,4.12946960180669,3.2
"1952-02-01",0.9297696527642341,2.2206119201291674,3.1
"1952-03-01",0.772550261443472,1.951468088253261,2.9
"1952-04-01",-0.3101052903531354,2.061928720273576,2.9
"1952-05-01",-0.9361278789179472,1.830016758561115,3.0
"1952-06-01",-1.4138543586950991,2.2875568599075358,3.0
"1952-07-01",-1.4364247309339717,2.9285226473404258,3.2
"1952-08-01",5.751075830164165,3.15915900727215,3.4
"1952-09-01",8.67406575261156,2.2788680819366913,3.1
"1952-10-01",9.849063845405315,2.0057436827435104,3.0
"1952-11-01",11.056494498645364,1.3959856959316674,2.8
"1952-12-01",10.990235550947691,0.9026010882859481,2.7
"1953-01-01",10.177875125553415,0.7157687367879806,2.9
"1953-02-01",10.118669221012322,0.6792478945887748,2.6
"1953-03-01",10.643337972983646,0.9053249310608358,2.6
"1953-04-01",11.985147239352223,0.8654804729623322,2.7
"1953-05-01",13.470285504048851,0.8651549167193906,2.5
"1953-06-01",14.003661612796892,0.9005689382612925,2.5
"1953-07-01",16.828969771355375,0.41144625090945297,2.6
"1953-08-01",10.051396857389028,0.5976857538440683,2.7
"1953-09-01",4.419977693517607,0.9716070454932613,2.9
"1953-10-01",2.5639685584013527,0.969433393857333,3.1
"1953-11-01",-1.856294235420508,0.5976857538440683,3.5
"1953-12-01",-4.900054733432002,0.5972395505530415,4.5
"1954-01-01",-5.922075737047505,1.1198325310029844,4.9
"1954-02-01",-6.184365650826873,1.4931221774984405,5.2
"1954-03-01",-7.61307415671757,1.120250699766645,5.7
"1954-04-01",-8.626296397315736,0.6349227678658309,5.9
"1954-05-01",-8.576448070877563,0.8577341417303597,5.9
"1954-06-01",-7.8667602351482735,0.6330313449956826,5.6
"1954-07-01",-8.9485460897325,0.26095075385739186,5.8
"1954-08-01",-8.551981663850938,0.0,6.0
"1954-09-01",-6.333123023152565,-0.2979518032905748,6.1
"1954-10-01",-4.310897082111209,-0.8570948686561497,5.7
"1954-11-01",-0.288627311180667,-0.26104806918469947,5.3
"1954-12-01",3.483978077381922,-0.3728565095138414,5.0
"1955-01-01",6.481569549815536,-0.6330313449956826,4.9
"1955-02-01",7.43165109459154,-0.6318549176380639,4.7
"1955-03-01",10.341521283694588,-0.5212223266990001,4.6
"1955-04-01",12.144758218106277,-0.26095075385739186,4.7
"1955-05-01",13.128719681594303,-0.5959049291246021,4.3
"1955-06-01",12.961680423530453,-0.8574143860348826,4.2
"1955-07-01",13.594558849189697,-0.37299558350634143,4.0
"1955-08-01",13.612975404203187,-0.48534722864288504,4.2
"1955-09-01",14.112071136690263,0.14908687070058768,4.1
"1955-10-01",14.593691723953128,0.37355291850875716,4.3
